targetId,comparatorId,outcomeId,outcomeName,type
1018,1015,378256,Abnormal reflex,outcome
1018,1015,440424,Aphasia,outcome
1018,1015,439237,Assault,outcome
1018,1015,378424,Astigmatism,outcome
1018,1015,261880,Atelectasis,outcome
1018,1015,134118,Atrophic condition of skin,outcome
1018,1015,4224118,Bladder dysfunction,outcome
1018,1015,80509,Bone cyst,outcome
1018,1015,434626,Borderline personality disorder,outcome
1018,1015,438407,Bulimia nervosa,outcome
1018,1015,134765,Cachexia,outcome
1018,1015,4172458,Candidiasis of skin,outcome
1018,1015,436740,Cervical incompetence,outcome
1018,1015,381581,Chalazion,outcome
1018,1015,4307254,Closed fracture,outcome
1018,1015,4047787,Colles' fracture,outcome
1018,1015,198075,Condyloma acuminatum,outcome
1018,1015,73302,Curvature of spine,outcome
1018,1015,4242416,Cutis laxa,outcome
1018,1015,433163,Deficiency of macronutrients,outcome
1018,1015,4047269,Deformity of foot,outcome
1018,1015,133228,Dental caries,outcome
1018,1015,4147672,Disease due to Papilloma virus,outcome
1018,1015,4153380,Disorder of carotid artery,outcome
1018,1015,4140510,Disorder of lymphatic vessel,outcome
1018,1015,433440,Dysthymia,outcome
1018,1015,376132,Ectropion,outcome
1018,1015,440695,Encopresis,outcome
1018,1015,438872,Excessive eating - polyphagia,outcome
1018,1015,78804,Fibrocystic disease of breast,outcome
1018,1015,4131595,Fracture of radius,outcome
1018,1015,74855,Genital herpes simplex,outcome
1018,1015,441788,Human papilloma virus infection,outcome
1018,1015,76737,Hydrocele,outcome
1018,1015,4029582,Hyperandrogenization syndrome,outcome
1018,1015,195212,Hypercortisolism,outcome
1018,1015,438134,Hypersomnia,outcome
1018,1015,140362,Hypoparathyroidism,outcome
1018,1015,4322737,Infection of tooth,outcome
1018,1015,4207688,Infectious enteritis,outcome
1018,1015,79072,Inflammatory disorder of breast,outcome
1018,1015,139099,Ingrowing nail,outcome
1018,1015,4288544,Inguinal hernia,outcome
1018,1015,444191,Injury of face,outcome
1018,1015,444130,Injury of foot,outcome
1018,1015,134222,Injury of forearm,outcome
1018,1015,4029966,Intracranial aneurysm,outcome
1018,1015,437409,Intracranial injury,outcome
1018,1015,4297984,Local infection of wound,outcome
1018,1015,4018050,Localized infection,outcome
1018,1015,439840,Lymphangitis,outcome
1018,1015,4163232,Mastitis,outcome
1018,1015,440389,Mental retardation,outcome
1018,1015,436100,Narcolepsy,outcome
1018,1015,4262178,Neurogenic dysfunction of the urinary bladder,outcome
1018,1015,193874,Nocturnal enuresis,outcome
1018,1015,4171549,Nodular goiter,outcome
1018,1015,442274,Oligomenorrhea,outcome
1018,1015,4215978,Onychomycosis,outcome
1018,1015,4171915,Orchitis,outcome
1018,1015,380731,Otitis externa,outcome
1018,1015,378160,Otorrhea,outcome
1018,1015,192606,Paraplegia,outcome
1018,1015,253796,Pneumothorax,outcome
1018,1015,195501,Polycystic ovaries,outcome
1018,1015,4153877,Post-traumatic wound infection,outcome
1018,1015,434319,Premature ejaculation,outcome
1018,1015,373478,Presbyopia,outcome
1018,1015,199876,Prolapse of female genital organs,outcome
